q,a
"Николай Васильевич Шабашов (1925, Малышева, Уральская область — неизвестно) — вальщик леса Заводоуспенского леспромхоза Министерства лесной и деревообрабатывающей промышленности СССР, Тугулымский район Свердловской области, Герой Социалистического Труда (07.05.1971).","Николай Васильевич Шабашов (тысяча девятьсот двадцать пятый, Малышева, Уральская область — неизвестно) — вальщик леса Заводоуспенского леспромхоза Министерства лесной и деревообрабатывающей промышленности СССР, Тугулымский район Свердловской области, Герой Социалистического Труда (седьмого мая тысяча девятьсот семьдесят первого года)."
Звонок в службу спасения от родных поступил в 7:40.,Звонок в службу спасения от родных поступил в семь часов сорок минут.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Скончалась легендарная княгиня // Информагентство «ForUm», 22.10.2006","Скончалась легендарная княгиня // Информагентство «ForUm», двадцать второго октября две тысячи шестого года"
"Ру», 20.10.2018","Ру», двадцатого октября две тысячи восемнадцатого года"
"В сентябре Девулф снова помог бельгийской сборной вернуться в Мировую группу Кубка Дэвиса: в плей-офф бельгийцы играли с действующими обладателями Кубка — сборной Франции — и одержали победу со счётом 3:2, причём Девулф, победивший в первой же игре Фабриса Санторо, был одним из трёх бельгийских теннисистов, выигравших свои одиночные встречи (две других победы одержали Йохан ван Херк и Кристоф ван Гарссе).","В сентябре Девулф снова помог бельгийской сборной вернуться в Мировую группу Кубка Дэвиса: в плей-офф бельгийцы играли с действующими обладателями Кубка — сборной Франции — и одержали победу со счётом три:два, причём Девулф, победивший в первой же игре Фабриса Санторо, был одним из трёх бельгийских теннисистов, выигравших свои одиночные встречи (две других победы одержали Йохан ван Херк и Кристоф ван Гарссе)."
Орден Отечественной войны 1-й степени (06.04.1985);,Орден Отечественной войны первой степени (шестого апреля тысяча девятьсот восемьдесят пятого года);
Орден Славы 1-й степени (22.04.1969);,Орден Славы первой степени (двадцать второго апреля тысяча девятьсот шестьдесят девятого года);
Орден Славы 2-й степени (29.10.1944);,Орден Славы второй степени (двадцать девятого октября тысяча девятьсот сорок четвёртого года);
Орден Славы 3-й степени (15.06.1944);,Орден Славы третьей степени (пятнадцатого июня тысяча девятьсот сорок четвёртого года);
"Как для малолетних и подростков, так и для женщин рабочий день должен был начинаться не ранее 5:30 час. утра и оканчиваться не позднее 8:30 час. вечера, по субботам же и накануне праздников","Как для малолетних и подростков, так и для женщин рабочий день должен был начинаться не ранее пяти часов тридцати минут час. утра и оканчиваться не позднее восьми часов тридцати минут час. вечера, по субботам же и накануне праздников"
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Родилась 25.10.1923 году в деревне Белогаево Подгоренского района Воронежской области.,Родилась двадцать пятого октября тысяча девятьсот двадцать третьего года году в деревне Белогаево Подгоренского района Воронежской области.
"Награждён орденом Ленина (27.02.1945), орденом Славы 3-й степени (13.05.1944), медалью «За отвагу» (21.10.1943).","Награждён орденом Ленина (двадцать седьмого февраля тысяча девятьсот сорок пятого года), орденом Славы Третьей степени (тринадцатого мая тысяча девятьсот сорок четвёртого года), медалью «За отвагу» (двадцать первого октября тысяча девятьсот сорок третьего года)."
19:26) при описании южной границы владений колена Ашера.,девятнадцать часов двадцать шесть минуты) при описании южной границы владений колена Ашера.
1:31).,один час тридцать один минута).
19:29):,девятнадцать часов двадцать девять минуты):
"И вернулась граница к Раме, и до города «Крепость Цора», и вернулась граница к Хосе; и оказался выход её к морю из округа Ахзива.","И вернулась граница к Раме, и до города «Крепость Цора», и вернулась граница к Хосе; и оказался выход её к морю из округа Ахзива."
Время начала матчей указано местное (UTC+1:00).,Время начала матчей указано местное (UTC+один час ноль минут).
"26 января, 20:00","двадцать шестого января, двадцать часов ноль минут"
"27 января, 9:30","двадцать седьмое января, девять часов тридцать минут"
"27 января, 14:00","двадцать седьмое января, четырнадцать часов ноль минут"
"27 января, 14:00","двадцать седьмое января, четырнадцать часов ноль минут"
Последние два с половиной года войны и после ВОВ (с 22.10.1942 по 18.06.1945) командиром полка был Александр Васильевич Гриднев.,Последние два с половиной года войны и после ВОВ (с двадцать второго октября тысяча девятьсот сорок второго года по восемнадцатое июня тысяча девятьсот сорок пятого года) командиром полка был Александр Васильевич Гриднев.
"майор Казаринова Тамара Александровна, 09.12.1941 — 07.10.1942","майор Казаринова Тамара Александровна, девятого декабря тысяча девятьсот сорок первого года — седьмого октября тысяча девятьсот сорок второго года"
"майор, подполковник Гриднев Александр Васильевич, 27.10.1942 — 15.07.1945","майор, подполковник Гриднев Александр Васильевич, двадцать седьмого октября тысяча девятьсот сорок второго года — пятнадцатого июля тысяча девятьсот сорок пятого года"
