q,a
"Основные характеристики: полная длина составляла от шести до восьми метров, ширина — около двух метров, высота борта 0,9 метра, осадка — полметра, грузоподъёмность — около трёх тонн.","Основные характеристики: полная длина составляла от шести до восьми метров, ширина — около двух с половиной метра, высота борта ноль целых девять десятых метра, осадка — полметра, грузоподъёмность — около трёх с половиной тонн."
"Длина 4,5 мм, ширина 2,1 мм.","Длина четыре с половиной мм, ширина две целых одна десятая мм."
"Пронотум в 1,3 раз шире своей длины и в передней трети с почти параллельными боками.",Пронотум в одну целую три десятых раз шире своей длины и в передней трети с почти параллельными боками.
"Скутеллюм в 1,2 раз длиннее своей ширины, слегка выпуклый, грубо пунктированный.","Скутеллюм в одну целую две десятых раз длиннее своей ширины, слегка выпуклый, грубо пунктированный."
"Надкрылья в 2,5 раз длиннее переднеспинки и в 1,75 длиннее своей ширины.",Надкрылья в две с половиной раз длиннее переднеспинки и в одну целую семьдесят пять сотых длиннее своей ширины.
"Расчетный пролет составляет 16,8 м.",Расчетный пролет составляет шестнадцать целых восемь десятых м.
"Масса — около 0,597 солнечной, радиус — около 0,581 солнечного, светимость — около 0,069 солнечной.","Масса — около ноля пятьсот девяносто семь тысячных солнечной, радиус — около ноля пятьсот восемьдесят одна тысячная солнечного, светимость — около ноля целых шестьдесят девять сотых солнечной."
"Среднегодовая температура воздуха — 4,1 °C. Средняя температура воздуха самого холодного месяца (января) — −10 — −8,5 °C (абсолютный минимум — −48 °C), средняя температура самого тёплого (июля) — 17 °С (абсолютный максимум — 37 °С).","Среднегодовая температура воздуха — четыре целых одна десятая C. Средняя температура воздуха самого холодного месяца (января) — минус десять — восемь с половиной C (абсолютный минимум — 48 С), средняя температура самого тёплого (июля) — семнадцать с половиной С (абсолютный максимум — тридцать семь с половиной С)."
"Расстояние по автодороге до районного центра Вытегры — 33,5 км, до центра муниципального образования села Андомский Погост — 1,5 км.","Расстояние по автодороге до районного центра Вытегры — тридцать три с половиной км, до центра муниципального образования села Андомский Погост — один с половиной км."
"Занимает площадь 1,046 км².",Занимает площадь одна целая четыреста пятьдесят шесть тысячных км2.
"Годовая убыль населения — 0,5 % (высокий уровень эмиграции из страны).",Годовая убыль населения — ноль с половиной % (высокий уровень эмиграции из страны).
"43,5 % — индийцы;",сорок три с половиной % — индийцы;
"30,2 % — афро-гайанцы;",тридцать целых две десятых % — афро-гайанцы;
"16,7 % — смешанного происхождения (метисы и мулаты);",шестнадцать целых семь десятых % — смешанного происхождения (метисы и мулаты);
"9,1 % — индейцы;",девять целых одна десятая % — индейцы;
"0,4 % — другие (португальцы, китайцы, арабы).Языки:","четыре целых четыре десятых % — другие (португальцы, китайцы, арабы).Языки:"
