q,a
"В 2009 году государственная корпорация «Роснано» одобрила инвестиционный проект общей стоимостью 1,7 млрд руб. по созданию на базе «Вириала» производства керамики с использованием наноматериалов, и в обмен на 501,5 млн руб. вложений в проект получила 49,9 % компании ещё 200 млн руб. вложила в проект компания «Сибирская органика», получив долю около 20 % в «Вириале».","В 2009 году государственная корпорация «Роснано» одобрила инвестиционный проект общей стоимостью одна целая семь десятых млрд руб. по созданию на базе «Вириала» производства керамики с использованием наноматериалов, и в обмен на пятьсот один с половиной млн руб. вложений в проект получила сорок девять целых девять десятых % компании ещё двести пятьдесят млн руб. вложила в проект компания «Сибирская органика», получив долю около двадцати сотых млн руб. вложила в проект компания «Сибирская органика», получив долю около двадцати сотых % в «Вириале»."
"По состоянию на 2008 год перед вхождением в инвестиционный проект «Роснано» компания принадлежала физическим лицам: Владимиру Румянцеву (33,33 %), Марине Румянцевой (33,33 %), Игорю Кузьмину (14,81 %), Никите Радцигу (7,41 %), Михаил Румянцеву (7,41 %), Ивану Румянцеву (3,7 %).","По состоянию на 2008 год перед вхождением в инвестиционный проект «Роснано» компания принадлежала физическим лицам: Владимиру Румянцеву (тридцать три целых тридцать три сотых %), Марине Румянцевой (тридцать три целых тридцать три сотых %), Марине Румянцевой (тридцать три целых тридцать три сотых %), Игорю Кузьмину (тридцать три целых тридцать три сотых %), Игорю Кузьмину (четырнадцать целых восемьдесят одна сотая %), Игорю Кузьмину (четырнадцать целых восемьдесят одна сотая %), Михаил Румянцеву (семь целых сорок одна сотая %), Ивану Румянцеву (пять целых тридцать семь сотых %)."
"По состоянию на 2011 год доли в компании принадлежат «Роснано» (49,9 %), «Сибирской органике» (20 %), фонду CapMan (15 %), остальные доли — у менеджмента.","По состоянию на 2011 год доли в компании принадлежат «Роснано» (сорок девять целых девять десятых %), «Сибирской органике» (сорок с половиной %), «Сибирской органике» (сорок с половиной %), фонду CapMan (сорок с половиной %), остальные доли — у менеджмента."
22.06.2006 (недоступная ссылка),двадцать две целых пятьсот девяносто шесть сотых (недоступная ссылка)
"выше по течению на расстоянии в 1,5 км расположено село Прилуковка,","выше по течению на расстоянии в одном с половиной км расположено село Прилуковка,"
2011 Dec 16;334(6062):1511. doi: 10.1126/science.1217138.,2011 Dec шестнадцать целых тридцать четыре сотых (шестьсот шестьдесят две целых двести шестьдесят две тысячных): сто двадцать шесть тысячных. doi: десять целых одна тысяча двести тридцать восемь тысячных.
PLoS Biol 10(2): e1001273. doi:10.1371/journal.pbio.1001273,"PLoS Biol десять (две целых две десятых) — e1001273. doi:10,1371/journal.pbio.1001273."
"Среднегодовая многолетняя температура воздуха составляет +3,7 — +4,2 °С. Средняя температура воздуха самого холодного месяца (января) — −10 °C (абсолютный минимум — −42 °C), средняя температура самого тёплого (июля) — +18,4 °С (абсолютный максимум — +38 °C).","Среднегодовая многолетняя температура воздуха составляет плюс три целых семь десятых — плюс четыре целых две десятых С (абсолютный минимум — 42 C), средняя температура самого тёплого (июля) — плюс восемнадцать целых четыре десятых С (абсолютный максимум — плюс восемнадцать целых четыре десятых С (абсолютный максимум — плюс восемнадцать целых четыре десятых C)."
"Скорость их колеблется в пределах от 3,2 до 4,8 м/с.",Скорость их колеблется в пределах от трех целых двух десятых до четырех целых восьми десятых м/с.
"Аллея Войска Польского в Щецине — одна из главных улиц Щецина (длина 6,9 км), идущая с юго-востока на северо-запад.","Аллея Войска Польского в Щецине — одна из главных улиц Щецина (длина шесть целых девять десятых км), идущая с юго-востока на северо-запад."
21.07.1995.,двадцать одна целая девятнадцать сотых.
Занимает площадь 12.19 км².,Занимает площадь двенадцать целых девятнадцать сотых км2.
"Занимает площадь 13,88 км².",Занимает площадь тринадцать целых восемьдесят восемь сотых км2.
"Тройкой при коллегии ГПУ УССР 23.09.1933 г. по ст. 54-2, 4, 7, 11 УК УССР, приговорён к 10 годам лагерей.","Тройкой при коллегии ГПУ УССР двадцать четыре целых девятнадцать сотых г. по ст. пятьдесят четыре целых четыре десятых, четыре целых одиннадцать сотых УК УССР, приговорён к десяти годам лагерей."
"Площадь озера — 3,4 км².",Площадь озера — три целых четыре десятых км2.
"Располагается на высоте 113,2 метров над уровнем моря.",Располагается на высоте сто тринадцать целых две десятых метров над уровнем моря.
