q,a
"Занимает площадь 2043,699 км².",Занимает площадь двух тысячи сорока трёх целых шестисот девяноста девяти тысячных км².
"Плотность населения — 6,0 чел./км².",Плотность населения — шесть целых ноль десятых чел./км².
"Тем не менее, во втором туре победил с результатом 54,78 %.","Тем не менее, во втором туре победил с результатом пятьдесят четыре целых семьдесят восемь сотых %."
"Водные ресурсы — 1084,75 га.",Водные ресурсы — одна тысяча восемьдесят четыре целых семьдесят пять сотых га.
"Занимает площадь 4,41 км².",Занимает площадь четырёх целых сорока одной сотой км².
"сельское хозяйство — 19,6 %",сельское хозяйство — девятнадцать целых шесть десятых %
"промышленность — 9,6 %",промышленность — девять целых шесть десятых %
"строительство — 9,5 %",строительство — девять целых пять десятых %
"торговля, транспорт и сфера услуг — 25,2 %","торговля, транспорт и сфера услуг — двадцать пять целых две десятых %"
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"Занимает площадь 0,112 км².",Занимает площадь ноля целых сто двенадцати тысячных км².
"Занимает площадь 3,239 км².",Занимает площадь трёх целых двухсот тридцати девяти тысячных км².
"Президент — Педру Верона Пиреш (46,5 % голосов).",Президент — Педру Верона Пиреш (сорок шесть целых пять десятых % голосов).
"США) превышает объём экспорта (95,5 млн долл.",США) превышает объём экспорта (девяносто пять целых пять десятых млн долл.
"77,3 % населения — католики;",семьдесят семь целых три десятых % населения — католики;
"4,6 % — протестанты (включая Церковь Назарянина);",четыре целых шесть десятых % — протестанты (включая Церковь Назарянина);
"4,5 % жителей придерживаются традиционных африканских верований;",четыре целых пять десятых % жителей придерживаются традиционных африканских верований;
"1,8 % — мусульмане;",одна целая восемь десятых % — мусульмане;
"10,8 % — члены прочих религиозных объединений (мормоны и др.).",десять целых восемь десятых % — члены прочих религиозных объединений (мормоны и др.).
"На традиционном январском супертурнире в Вейк-ан-Зее Магнус одержал победу, на 0,5 очка обойдя лидировавших по ходу турнира Алексея Широва и Владимира Крамника.","На традиционном январском супертурнире в Вейк-ан-Зее Магнус одержал победу, на ноль целых пять десятых очка обойдя лидировавших по ходу турнира Алексея Широва и Владимира Крамника."
"Среднегодовая температура воздуха — 3,9 °C.",Среднегодовая температура воздуха — три целых девять десятых °C.
"Среднегодовая скорость ветра варьирует в пределах от 3,1 до 4,1 м/с.",Среднегодовая скорость ветра варьирует в пределах от трёх целых одной десятой до четырёх целых одной десятой м/с.
"Подготовка исполнительной документации может осуществляться как в бумажном так и электронном виде, но приёмка органами государственного строительного надзора ведётся только в бумажном виде.","Подготовка исполнительной документации может осуществляться как в бумажном так и электронном виде, но приёмка органами государственного строительного надзора ведётся только в бумажном виде."
"Среднегодовая температура воздуха — 5,5 °С.",Среднегодовая температура воздуха — пять целых пять десятых °С.
"Занимает площадь 26,13 км².",Занимает площадь двадцати шести целых тринадцати сотых км².
"— коэффициент шероховатости, характеризующий состояние поверхности русла, для случая канализационных труб принимается в диапазоне (0,012…0,015); для других случаев информация приведена в литературе;","— коэффициент шероховатости, характеризующий состояние поверхности русла, для случая канализационных труб принимается в диапазоне (0,012…ноль целых пятнадцать тысячных); для других случаев информация приведена в литературе;"
"{\displaystyle y=2,5{\sqrt {n}}-0,13-0,75{\sqrt {R}}\left({\sqrt {n}}-0,1\right)~.","{\displaystyle y=2,5{\sqrt {n}}-ноль целых тринадцать сотых-ноль целых семьдесят пять сотых{\sqrt {R}}\left({\sqrt {n}}-0,1\right)~."
},}
"Победив в праймериз (его поддержали 58,35 % пришедших на голосование однопартийцев) Амелию Фраскароли из партии «Левые Экология Свобода» и ЛГБТ-активиста из ДП Бенедетто Заккироли, был выдвинут официальным кандидатом.","Победив в праймериз (его поддержали пятьдесят восемь целых тридцать пять сотых % пришедших на голосование однопартийцев) Амелию Фраскароли из партии «Левые Экология Свобода» и ЛГБТ-активиста из ДП Бенедетто Заккироли, был выдвинут официальным кандидатом."
"Средняя температура за год 0,5 °C.",Средняя температура за год ноля целых пяти десятых °C.
"{\displaystyle V_{a}=3,6~\pi Nr_{k}/(30i_{0}i)=0,377Nr_{k}/(i_{0}i)}","{\displaystyle V_{a}=3,6~\pi Nr_{k}/(30i_{0}i)=0,377Nr_{k}/(i_{0}i)}"
"Максимальная скорость автомобиля на повышающей передаче как правило ниже, чем на прямой (с передаточным числом 1,0) или последней имеющей передаточное число около единицы.","Максимальная скорость автомобиля на повышающей передаче как правило ниже, чем на прямой (с передаточным числом одной целой нолём десятых) или последней имеющей передаточное число около единицы."
"Чашелистики ланцетные, длиной до 1,5 мм, с заканчивающейся щетиной.","Чашелистики ланцетные, длиной до одной целой пяти десятых мм, с заканчивающейся щетиной."
"Лепестки также ланцетные, длиной около 0,8 мм, острые, от белого до красноватого цвета.","Лепестки также ланцетные, длиной около ноля целых восьми десятых мм, острые, от белого до красноватого цвета."
"Семена образуют пары в плодолистике, имеют размер около 0,4 мм и характеризуются ребристой структурой.","Семена образуют пары в плодолистике, имеют размер около ноля целых четырёх десятых мм и характеризуются ребристой структурой."
"Занимает площадь 10,94 км².",Занимает площадь десяти целых девяноста четырёх сотых км².
"Село Новая Диброва находится в 1,5 км от села Яцюково.",Село Новая Диброва находится в одну целую пять десятых км от села Яцюково.
"После ремонта скорость миноносца была равна 22,5 узлам.",После ремонта скорость миноносца была равна двадцати двум целых пяти десятых узлам.
"Конидии в основном шаровидные, гладкие, 2,5—3,5 мкм в диаметре.","Конидии в основном шаровидные, гладкие, две целых пять десятых—три целых пять десятых мкм в диаметре."
"Занимает площадь 6,30 км².",Занимает площадь шести целых тридцати сотых км².
"УрбанизацияГородское население (города Городец и Заволжье, рабочий посёлок Первомайский) составляет 81,74 % от всего населения района.","УрбанизацияГородское население (города Городец и Заволжье, рабочий посёлок Первомайский) составляет восемьдесят одна целая семьдесят четыре сотых % от всего населения района."
"В реальном выражении (скорректировано на индекс потребительских цен) темп роста заработной платы составил 107,7 %.",В реальном выражении (скорректировано на индекс потребительских цен) темп роста заработной платы составил сто семь целых семь десятых %.
"2,828",две целых восемьсот двадцать восемь тысячных
(недоступная ссылка) doi:10.1103/RevModPhys.81.1727,(недоступная ссылка) doi:десять целых одна тысяча сто три десятитысячных/RevModPhys.81.1727
"На выборах Эттырынтына заняла первое место, набрав 27,29 % голосов, второй мандат получила начальник управления юстиции Чукотского автономного округа Людмила Котесова, набравшая 25,09 % голосов избирателей.","На выборах Эттырынтына заняла первое место, набрав двадцать семь целых двадцать девять сотых % голосов, второй мандат получила начальник управления юстиции Чукотского автономного округа Людмила Котесова, набравшая двадцать пять целых девять сотых % голосов избирателей."
"Партия Зелёных получила 6,3 процента голосов и восемь мест.",Партия Зелёных получила шесть целых три десятых процента голосов и восемь мест.
"Площадь поверхности озера — 1,8 км² (по другим данным — 1,74 км²).",Площадь поверхности озера — одна целая восемь десятых км² (по другим данным — одна целая семьдесят четыре сотых км²).
"Объём воды — 36,1 млн м³.",Объём воды — тридцать шесть целых одна десятая млн м³.
"Озеро образовалось около 7,2 тысяч лет назад в результате перекрытия долины оползнем.",Озеро образовалось около семь целых две десятых тысяч лет назад в результате перекрытия долины оползнем.
"Астероид располагается во внешней части главного пояса астероидов на расстоянии 2,64—3,64 а. е. от Солнца.",Астероид располагается во внешней части главного пояса астероидов на расстоянии двух целых шестидесяти четырёх сотых—трёх целых шестидесяти четырёх сотых а. е. от Солнца.
"По данным исследований, проведённых инфракрасными спутниками Akari и WISE, отражающая способность астероида равна 0,04.","По данным исследований, проведённых инфракрасными спутниками Akari и WISE, отражающая способность астероида равна ноль целых четыре сотых."
"Исходя из яркости и альбедо, рассчитан диаметр астероида, который равен 38,6 км.","Исходя из яркости и альбедо, рассчитан диаметр астероида, который равен тридцати восьми целых шести десятых км."
"Постепенно штат увеличился до 3,7 тысячи человек, что заметно превысило количество сотрудников ДИНА (около 2,5 тысячи человек).","Постепенно штат увеличился до три целых семь десятых тысячи человек, что заметно превысило количество сотрудников ДИНА (около две целых пять десятых тысячи человек)."
"По последующим подсчётам, вооружённые боевики — квалифицированные как террористы — составляли от 0,5 % до 1,5 % репрессированных СЕНИ.","По последующим подсчётам, вооружённые боевики — квалифицированные как террористы — составляли от ноль целых пять десятых % до одна целая пять десятых % репрессированных СЕНИ."
"Занимает площадь 113,38 км².",Занимает площадь сто тринадцати целых тридцати восьми сотых км².
«Синдуальность: Нуар» — Шни20242.5 Dimensional Seduction — Маюри Ханю,«Синдуальность: Нуар» — Шни20242.5 Dimensional Seduction — Маюри Ханю
"Плотность населения — 4,2 чел./км².",Плотность населения — четыре целых две десятых чел./км².
"Длина водотока 5,1 километра, площадь водосборного бассейна — 12,9 км².","Длина водотока пяти целых одной десятой километра, площадь водосборного бассейна — двенадцать целых девять десятых км²."
"Село Скелеватое находится в 1,5 км от села Вишняки и в 2,5 км от сёл Веселотерноватое и Петровское.",Село Скелеватое находится в одну целую пять десятых км от села Вишняки и в две целых пять десятых км от сёл Веселотерноватое и Петровское.
"Занимает площадь 9,73 км².",Занимает площадь девяти целых семидесяти трёх сотых км².
"Плотность населения составляет 1,00 человек на км2.",Плотность населения составляет одной целой ноля сотых человек на км2.
"Расовый состав населения: белые — 81,65 %, афроамериканцы — 0,56 %, коренные американцы (индейцы) — 0,49 %, азиаты — 0,49 %, гавайцы — 0,00 %, представители других рас — 15,13 %, представители двух или более рас — 1,69 %.","Расовый состав населения: белые — восемьдесят одна целая шестьдесят пять сотых %, афроамериканцы — ноль целых пятьдесят шесть сотых %, коренные американцы (индейцы) — ноль целых сорок девять сотых %, азиаты — ноль целых сорок девять сотых %, гавайцы — ноль целых ноль сотых %, представители других рас — пятнадцать целых тринадцать сотых %, представители двух или более рас — одна целая шестьдесят девять сотых %."
"Испаноязычные составляли 0,00 % населения независимо от расы.",Испаноязычные составляли ноль целых ноль сотых % населения независимо от расы.
"Средний размер домашнего хозяйства составляет 2,49 человека, и средний размер семьи 3,09 человека.","Средний размер домашнего хозяйства составляет две целых сорок девять сотых человека, и средний размер семьи три целых девять сотых человека."
"{\displaystyle r=1,2,\ldots ,N,}","{\displaystyle r=1,2,\ldots ,N,}"
Bibcode:1971TTSP....,Bibcode:1971TTSP....
Bibcode:2007PhRvD..76b5025C.,Bibcode:2007PhRvD..76b5025C.
doi:10.1103/PhysRevD.76.025025.,doi:десять целых одна тысяча сто три десятитысячных/PhysRevD.76.025025.
Bibcode:2004AmJPh.,Bibcode:2004AmJPh.
arXiv:1804.01714 [physics.hist-ph].,arXiv:одна тысяча восемьсот четыре целых одна тысяча семьсот четырнадцать стотысячных [physics.hist-ph].
arXiv:1902.01989 [physics.hist-ph].,arXiv:одна тысяча девятьсот две целых одна тысяча девятьсот восемьдесят девять стотысячных [physics.hist-ph].
arXiv:0906.1732.,arXiv:девятьсот шесть целых одна тысяча семьсот тридцать две десятитысячных.
Bibcode:2009arXiv0906.1732S.,Bibcode:2009arXiv0906.1732S.
"сельское хозяйство — 5,7 %",сельское хозяйство — пять целых семь десятых %
"промышленность — 17,8 %",промышленность — семнадцать целых восемь десятых %
"строительство — 15,2 %",строительство — пятнадцать целых две десятых %
"торговля, транспорт и сфера услуг — 25,6 %","торговля, транспорт и сфера услуг — двадцать пять целых шесть десятых %"
(CC BY-SA 3.0),(CC BY-SA три целых ноль десятых)
"Среднегодовая температура воздуха +3,2 °C.",Среднегодовая температура воздуха три целых две десятых °C.
"{\displaystyle 4/3<p<3,422}",{\displaystyle 4/3<p<три целых четыреста двадцать две тысячных}
"1,476",одна целая четыреста семьдесят шесть тысячных
"1,446",одна целая четыреста сорок шесть тысячных
"2,372",две целых триста семьдесят две тысячных
"{\displaystyle N(0,1)}","{\displaystyle N(0,1)}"
"{\displaystyle 1,2,...","{\displaystyle одна целая две десятых,..."
},}
