q,a
"выше по течению на расстоянии в 1,5 км расположено село Прилуковка,","выше по течению на расстоянии в одну целую пять десятых км расположено село Прилуковка,"
"Среднегодовая многолетняя температура воздуха составляет +3,7 — +4,2 °С.",Среднегодовая многолетняя температура воздуха составляет три целых семь десятых — четыре целых две десятых °С.
"Скорость их колеблется в пределах от 3,2 до 4,8 м/с.",Скорость их колеблется в пределах от трёх целых двух десятых до четырёх целых восьми десятых м/с.
"Аллея Войска Польского в Щецине — одна из главных улиц Щецина (длина 6,9 км), идущая с юго-востока на северо-запад.","Аллея Войска Польского в Щецине — одна из главных улиц Щецина (длина шесть целых девять десятых км), идущая с юго-востока на северо-запад."
Занимает площадь 12.19 км².,Занимает площадь двенадцать целых девятнадцать сотых км².
"Занимает площадь 13,88 км².",Занимает площадь тринадцать целых восемьдесят восемь сотых км².
"Площадь озера — 3,4 км².",Площадь озера — три целых четыре десятых км².
"Располагается на высоте 113,2 метров над уровнем моря.",Располагается на высоте сто тринадцать целых две десятых метров над уровнем моря.
"В 0,5 к северу от деревни протекает река Шувойка.",В ноль целых пяти десятых к северу от деревни протекает река Шувойка.
"52.79, диаметр 14,3 км, глубина 2,41 км.","пятьдесят две целых семьдесят девять сотых, диаметр четырнадцать целых три десятых км, глубина две целых сорок одна сотой км."
"Занимает площадь 1,46 км².",Занимает площадь одна целая сорок шесть сотых км².
"Занимает площадь 6,15 км².",Занимает площадь шесть целых пятнадцать сотых км².
"Площадь озера — 1,2 км².",Площадь озера — одна целая две десятых км².
"Располагается на высоте 132,9 метров над уровнем моря.",Располагается на высоте сто тридцати двух целых девяти десятых метров над уровнем моря.
"До версии 7.0 был доступен в двух вариантах: условно-бесплатной ограниченной community edition, и платного пакета для профессиональной разработки, включающую в частности возможность публикации приложений, отчуждаемых от smalltalk-среды.","До версии семь целых ноль десятых был доступен в двух вариантах: условно-бесплатной ограниченной community edition, и платного пакета для профессиональной разработки, включающую в частности возможность публикации приложений, отчуждаемых от smalltalk-среды."
Округ занимает площадь 652.7 км2.,Округ занимает площадь шестисот пятидесяти двух целых семи десятых км2.
Плотность населения составляла 26.8 человек на квадратный километр.,Плотность населения составляла двадцати шести целых восьми десятых человек на квадратный километр.
"Среднегодовая температура — 2,7 °C.",Среднегодовая температура — две целых семь десятых °C.
"Телескоп VEGA — Ричи-Критьен (D = 0.7 м, F = 5.831 м)","Телескоп VEGA — Ричи-Критьен (D = ноль целых семь десятых м, F = пяти целых восьмисот тридцати одной тысячной м)"
"Устье реки находится в 0,3 км по левому берегу реки Малой Цемы.",Устье реки находится в ноль целых три десятых км по левому берегу реки Малой Цемы.
"Стебли растения содержат 0,11-0,83 % бета-карболинов, с гармином и тетрагидрогармином как основными компонентами.","Стебли растения содержат ноль целых одиннадцать сотых-ноль целых восемьдесят три сотых % бета-карболинов, с гармином и тетрагидрогармином как основными компонентами."
"Занимает площадь 83,17 км².",Занимает площадь восьмидесяти трёх целых семнадцати сотых км².
"Наклонение: 51,5°.",Наклонение: пятьдесят одна целая пять десятых°.
Период обращения: 5921.5 мин.,Период обращения: пять тысячи девятьсот двадцать одна целая пять десятых мин.
"ёмкость топливного бака: 8,8 имперских галлонов",ёмкость топливного бака: восемь целых восемь десятых имперских галлонов
Capital Research Global Investors — (8.30 %),Capital Research Global Investors — (восемь целых тридцать сотых %)
"BlackRock Institutional Trust Company, N.A. — (5.55 %)","BlackRock Institutional Trust Company, N.A. — (пять целых пятьдесят пять сотых %)"
State Street Global Advisors — (4.09 %),State Street Global Advisors — (четыре целых девять сотых %)
Wellington Management Company — (2.99 %),Wellington Management Company — (две целых девяносто девять сотых %)
Geode Capital Management — (2.18 %),Geode Capital Management — (две целых восемнадцать сотых %)
Charles Schwab Corporation — (1.93 %),Charles Schwab Corporation — (одна целая девяносто три сотых %)
PRIMECAP Management Company — (1.88 %),PRIMECAP Management Company — (одна целая восемьдесят восемь сотых %)
"T. Rowe Price Associates, Inc.","T. Rowe Price Associates, Inc."
— (1.83 %),— (одна целая восемьдесят три сотых %)
Massachusetts Financial Services Co. — (1.75 %),Massachusetts Financial Services Co. — (одна целая семьдесят пять сотых %)
"Деревня находится в западной части Ульяновской области, в лесостепной зоне, в пределах Приволжской возвышенности, в вершине Барского дола, на расстоянии примерно 6,5 километров (по прямой) к югу от поселка Барыш.","Деревня находится в западной части Ульяновской области, в лесостепной зоне, в пределах Приволжской возвышенности, в вершине Барского дола, на расстоянии примерно шести целых пяти десятых километров (по прямой) к югу от поселка Барыш."
"Домашние матчи команда проводит на стадионе «Виллем II», его вместимость составляет 14,7 тысяч зрителей.","Домашние матчи команда проводит на стадионе «Виллем II», его вместимость составляет четырнадцать целых семь десятых тысяч зрителей."
"Блестяще-чёрные жуки длиной около 9,4 мм.",Блестяще-чёрные жуки длиной около девяти целых четырёх десятых мм.
В 09.1992 выведен на полевой аэродром станицы Егорлыкская Ростовской области.,В девять целых одна тысяча девятьсот девяносто две десятитысячных выведен на полевой аэродром станицы Егорлыкская Ростовской области.
"ISDN: 0,003 %",ISDN: ноль целых три тысячных %
"Кабельные сети: 14,9 %",Кабельные сети: четырнадцать целых девять десятых %
"Оптоволоконные сети: 2,9 %",Оптоволоконные сети: две целых девять десятых %
"xDSL: 11,4 %",xDSL: одиннадцать целых четыре десятых %
"Позднее была добавлена технология EV-DO Rev.A, повысившая скорости до 3,1 Мбит/с и 1,8 Мбит/с соответственно.","Позднее была добавлена технология EV-DO Rev.A, повысившая скорости до трёх целых одной десятой Мбит/с и одна целая восемь десятых Мбит/с соответственно."
"Среднегодовая температура воздуха — +2,3 °C.",Среднегодовая температура воздуха — две целых три десятых °C.
"В Пакистане пушту — региональный язык, примерно 15,42 % населения всего Пакистана говорят на нём.","В Пакистане пушту — региональный язык, примерно пятнадцать целых сорок две сотых % населения всего Пакистана говорят на нём."
"На строительство Ийи-талской школы было направлено из бюджета 315,8 млн рублей.",На строительство Ийи-талской школы было направлено из бюджета триста пятнадцать целых восемь десятых млн рублей.
"Во время реконструкции «Ольстер» продолжил проводить матчи на «Рейвенхилл», вместимость которого была сокращена на 3,5 тысячи человек.","Во время реконструкции «Ольстер» продолжил проводить матчи на «Рейвенхилл», вместимость которого была сокращена на три целых пять десятых тысячи человек."
"После этого у него осталось 0,04 % обыкновенных акций, которые Савирис собирается продать на бирже в ближайшее время.","После этого у него осталось ноль целых четыре сотых % обыкновенных акций, которые Савирис собирается продать на бирже в ближайшее время."
"Длина тела 2,5—2,6 мм.",Длина тела двух целых пяти десятых—двух целых шести десятых мм.
"Отличить новый вид можно по меньшим размерам тела (2,64 мм против 2,80—2,88 мм у самца;",Отличить новый вид можно по меньшим размерам тела (две целых шестьдесят четыре сотых мм против двух целых восьмидесяти сотых—двух целых восьмидесяти восьми сотых мм у самца;
"Entomological Laboratory, Kyushu University https://doi.org/10.5109/2550","Entomological Laboratory, Kyushu University https://doi.org/10.5109/2550"
"Занимает площадь 26,43 км².",Занимает площадь двадцати шести целых сорока трёх сотых км².
"Среднегодовая температура воздуха — 4,6 °С.",Среднегодовая температура воздуха — четыре целых шесть десятых °С.
"Средняя многолетняя температура самого холодного месяца (января) составляет −7,8 °С, средняя температура самого тёплого (июля) — +17,4 °С.","Средняя многолетняя температура самого холодного месяца (января) составляет −семь целых восемь десятых °С, средняя температура самого тёплого (июля) — семнадцать целых четыре десятых °С."
"Занимает площадь 0,74 км².",Занимает площадь ноля целых семидесяти четырёх сотых км².
"Медный купорос CuSO4·5H2О (23,7-24,9 % Cu);",Медный купорос CuSO4·5H2О (двадцать три целых семь десятых-двадцать четыре целых девять десятых % Cu);
"Медно-калийные удобрения (1,0 ± 0,2 Cu, 56,8 ± 0.6 К2О), получаемые смешением и последующим, гранулированием медного купороса с хлоридом калия;","Медно-калийные удобрения (одна целая ноль десятых ± ноль целых две десятых Cu, пятьдесят шесть целых восемь десятых ± ноля целых шести десятых К2О), получаемые смешением и последующим, гранулированием медного купороса с хлоридом калия;"
"Пиритные огарки (0,3 0,5 % Cu) — отходы сернокислотного и бумажно-целлюлозного производств, применяемые в местах их получения.","Пиритные огарки (ноль целых три десятых ноль целых пять десятых % Cu) — отходы сернокислотного и бумажно-целлюлозного производств, применяемые в местах их получения."
"Занимает площадь 67,9 км².",Занимает площадь шестидесяти семи целых девяти десятых км².
"Наибольшая длина озера — 2,2 км, наибольшая ширина — 1,7 км.","Наибольшая длина озера — две целых две десятых км, наибольшая ширина — одна целая семь десятых км."
"Длина береговой линии составляет 7,4 км, развитие береговой линии — 1,44.","Длина береговой линии составляет семи целых четырёх десятых км, развитие береговой линии — одна целая сорок четыре сотых."
"При этом Майер являлся одним из самых играющих футболистов Германии — на его счету было в среднем 5,6 успешных обводов за матч.",При этом Майер являлся одним из самых играющих футболистов Германии — на его счету было в среднем пять целых шесть десятых успешных обводов за матч.
"Лист существует во время цветения, 3,5 футов в диаметре.","Лист существует во время цветения, три целых пять десятых футов в диаметре."
"Демонтировано почти 2,5 тыс. памятников, из которых более 1,5 тыс. были монументами в честь Ленина.","Демонтировано почти две целых пять десятых тыс. памятников, из которых более одна целая пять десятых тыс. были монументами в честь Ленина."
"Наибольшее количество голосов КПУ получила в Луганской и Донецкой областях, где за партию проголосовало 11,88 % и 10,25 % избирателей соответственно.","Наибольшее количество голосов КПУ получила в Луганской и Донецкой областях, где за партию проголосовало одиннадцать целых восемьдесят восемь сотых % и десять целых двадцать пять сотых % избирателей соответственно."
"Площадь повета — около 5,5 тыс. км2.",Площадь повета — около пять целых пять десятых тыс. км2.
"Среднегодовая температура — 4,9 °C.",Среднегодовая температура — четыре целых девять десятых °C.
"При наличии в радиостанции аварийного приемника обеспечивает дежурный прием сигналов на одной из аварийных частот 121,5, 156,8 или 243,0 МГц.","При наличии в радиостанции аварийного приемника обеспечивает дежурный прием сигналов на одной из аварийных частот сто двадцать одна целая пять десятых, сто пятьдесят шесть целых восемь десятых или двести сорок три целых ноль десятых МГц."
"Шаг каналов: 83,3 кГц",Шаг каналов: восемьдесят три целых три десятых кГц
"100,000-149,975",сто целых ноль тысячных-сто сорок девять целых девятьсот семьдесят пять тысячных
"156,000-173,975",сто пятьдесят шесть целых ноль тысячных-сто семьдесят три целых девятьсот семьдесят пять тысячных
"220,000-399,975",двести двадцать целых ноль тысячных-триста девяносто девять целых девятьсот семьдесят пять тысячных
"Диапазон частот, МГц с шагом сетки частот 8,33 кГц — 118,000-136,975","Диапазон частот, МГц с шагом сетки частот восьми целых тридцати трёх сотых кГц — сто восемнадцать целых ноль тысячных-сто тридцать шесть целых девятьсот семьдесят пять тысячных"
"в режиме «Прием»: 1,5",в режиме «Прием»: одну целую пять десятых
"масса изделия, не более: 13,5 кг","масса изделия, не более: тринадцать целых пять десятых кг"
"Занимает площадь 32,66 км².",Занимает площадь тридцати двух целых шестидесяти шести сотых км².
"Метание диска — 62,28",Метание диска — шестьдесят две целых двадцать восемь сотых
"Площадь водосборного бассейна Рио-Чико составляет 61131,72 км².",Площадь водосборного бассейна Рио-Чико составляет шестидесяти одной тысячи сто тридцати одной целой семидесяти двух сотых км².
"Рекомендованы были также проекты «Джами», «Самарканд», «Тимур» (пером) и «2596,75».","Рекомендованы были также проекты «Джами», «Самарканд», «Тимур» (пером) и «две тысяча пятьсот девяносто шесть целых семьдесят пять сотых»."
"18,5 % — земли сельскохозяйственного назначения",восемнадцать целых пять десятых % — земли сельскохозяйственного назначения
"3,2 % — земли под промышленность, транспорт, связь и другие земли","три целых две десятых % — земли под промышленность, транспорт, связь и другие земли"
"7,7 % — земли природоохранного, курортного, рекреационного, спортивного и историко-культурного назначения","семь целых семь десятых % — земли природоохранного, курортного, рекреационного, спортивного и историко-культурного назначения"
"11,8 % — земли лесного фонда",одиннадцать целых восемь десятых % — земли лесного фонда
"0,7 % — земли водного фонда (без территории озера Севан)",ноль целых семь десятых % — земли водного фонда (без территории озера Севан)
"Октябрьск — 91,77 %",Октябрьск — девяносто одна целая семьдесят семь сотых %
"Чапаевск — 91,56 %",Чапаевск — девяносто одна целая пятьдесят шесть сотых %
"Жигулевск — 89,58 %",Жигулевск — восемьдесят девять целых пятьдесят восемь сотых %
"Новокуйбышевск — 89,05 %",Новокуйбышевск — восемьдесят девять целых пять сотых %
"Кинель — 88,88 %",Кинель — восемьдесят восемь целых восемьдесят восемь сотых %
"Самара — 88,14 %",Самара — восемьдесят восемь целых четырнадцать сотых %
"Сызрань — 87,8 %",Сызрань — восемьдесят семь целых восемь десятых %
"Отрадный — 83,94 %",Отрадный — восемьдесят три целых девяносто четыре сотых %
"Тольятти — 83,2 %",Тольятти — восемьдесят три целых две десятых %
"Похвистнево — 61,73 %",Похвистнево — шестьдесят одна целая семьдесят три сотых %
"Алексеевский — 89,43 %",Алексеевский — восемьдесят девять целых сорок три сотых %
"Богатовский — 89,06 %",Богатовский — восемьдесят девять целых шесть сотых %
"Приволжский — 88,07 %",Приволжский — восемьдесят восемь целых семь сотых %
"Нефтегорский — 87,84 %",Нефтегорский — восемьдесят семь целых восемьдесят четыре сотых %
"Пестравский — 86,66 %",Пестравский — восемьдесят шесть целых шестьдесят шесть сотых %
