q,a
Масса гранатомета: 4.7 кг,Масса гранатомета: четыре целых семь десятых кг
"Масса выстрела: 1,9 кг",Масса выстрела: одна целая девять десятых кг
"Среднегодовая температура — 1,5 °C.",Среднегодовая температура — одна целая пять десятых °C.
Всего с момента выхода было продано более 100.000 копий альбома по всему миру.,Всего с момента выхода было продано более сто целых ноля тысячных копий альбома по всему миру.
"Русло реки в нижнем течении (пруд в селе Чернече) находится на высоте 84,0 м над уровнем моря.",Русло реки в нижнем течении (пруд в селе Чернече) находится на высоте восьмидесяти четырёх целых ноля десятых м над уровнем моря.
"Уклон реки 2,6 м/км.",Уклон реки двух целых шести десятых м/км.
"По данным Бюро переписи населения США площадь тауншипа составляет 86,2 км², из которых 84,5 км² занимает суша, а 1,7 км² — вода (1,98 %).","По данным Бюро переписи населения США площадь тауншипа составляет восьмидесяти шести целых двух десятых км², из которых восьмидесяти четырёх целых пяти десятых км² занимает суша, а одна целая семь десятых км² — вода (одна целая девяносто восемь сотых %)."
"Плотность населения — 1,7 чел./км².",Плотность населения — одна целая семь десятых чел./км².
"Расовый состав населения: 99,29 % белых и 0,71 % приходится на две или более других рас.",Расовый состав населения: девяносто девять целых двадцать девять сотых % белых и ноль целых семьдесят одна сотая % приходится на две или более других рас.
"Средний размер домохозяйства — 2,30, а семьи — 2,75 человека.","Средний размер домохозяйства — две целых тридцать сотых, а семьи — две целых семьдесят пять сотых человека."
"Она была описана как звёздоподобный объект 18,9 m звёздной величины.",Она была описана как звёздоподобный объект восемнадцати целых девяти десятых m звёздной величины.
"Комета обладает коротким периодом обращения вокруг Солнца — чуть более 9,5 лет.",Комета обладает коротким периодом обращения вокруг Солнца — чуть более девяти целых пяти десятых лет.
"Текущее положение кометы указывало на необходимость корректировки расчётов её орбиты на 0,16 суток.",Текущее положение кометы указывало на необходимость корректировки расчётов её орбиты на ноля целых шестнадцати сотых суток.
"Комета интересна, прежде всего, своей неустойчивой орбитой, с довольно малым значением параметра MOID (0,1164 а. е.), что способствует тесным сближениям с Юпитером.","Комета интересна, прежде всего, своей неустойчивой орбитой, с довольно малым значением параметра MOID (ноль целых одна тысяча сто шестьдесят четыре десятитысячных а. е.), что способствует тесным сближениям с Юпитером."
"(6,2 млн км), что неминуемо приведёт к кардинальным изменениям орбиты данного тела.","(шесть целых две десятых млн км), что неминуемо приведёт к кардинальным изменениям орбиты данного тела."
"Величина семейного участка зависит от изобилия пищи и варьируется от 0,25 до 1,5 км²; его границы часто не метятся.",Величина семейного участка зависит от изобилия пищи и варьируется от ноля целых двадцати пяти сотых до одной целой пяти десятых км²; его границы часто не метятся.
"Плотность населения — 5,2 чел./км².",Плотность населения — пять целых две десятых чел./км².
На сайте GameRankings с учётом нескольких рецензий игра имеет средний балл 50.00%.,На сайте GameRankings с учётом нескольких рецензий игра имеет средний балл пятьдесят целых ноль сотых%.
"При написании этой статьи использовался материал (текст в Викитеке) из «Лентапедии», доступный по лицензии Creative Commons BY-SA 3.0 Unported.","При написании этой статьи использовался материал (текст в Викитеке) из «Лентапедии», доступный по лицензии Creative Commons BY-SA 3.0 Unported."
"Измерения показали, что после приложения ускоряющего напряжения менее 4,9 В электроны сталкиваются с атомами только упруго и практически не теряют энергии.","Измерения показали, что после приложения ускоряющего напряжения менее четыре целых девять десятых В электроны сталкиваются с атомами только упруго и практически не теряют энергии."
"Выше этого порога они передают 4,9 эВ атому при столкновении.",Выше этого порога они передают четыре целых девять десятых эВ атому при столкновении.
"В последующих измерениях Дж. Франк и Г. Герц доказали, что атомы ртути, поглотившие эту энергию, излучают свет, с энергией фотонов 4,9 эВ, что также подтвердило второй постулат Бора.","В последующих измерениях Дж. Франк и Г. Герц доказали, что атомы ртути, поглотившие эту энергию, излучают свет, с энергией фотонов четырёх целых девяти десятых эВ, что также подтвердило второй постулат Бора."
"Они обнаружили, что при столкновении с атомом ртути электрон может потерять только определённое количество (4,9 электронвольта) своей кинетической энергии.","Они обнаружили, что при столкновении с атомом ртути электрон может потерять только определённое количество (четыре целых девять десятых электронвольта) своей кинетической энергии."
"После столкновения электрон внутри атома переходит на более высокий энергетический уровень с энергией, большей на 4,9 эВ, так что связь электрона с ядром в атоме ртути становится слабее.","После столкновения электрон внутри атома переходит на более высокий энергетический уровень с энергией, большей на четыре целых девять десятых эВ, так что связь электрона с ядром в атоме ртути становится слабее."
"Они показали, что длина волны этого ультрафиолетового света точно соответствует энергии 4,9 эВ, которую потерял ускоренный электрон.","Они показали, что длина волны этого ультрафиолетового света точно соответствует энергии четырёх целых девяти десятых эВ, которую потерял ускоренный электрон."
"При малых разностях потенциалов — до 4,9 В — ток через трубку постоянно увеличивается с ростом разности потенциалов.",При малых разностях потенциалов — до четырёх целых девяти десятых В — ток через трубку постоянно увеличивается с ростом разности потенциалов.
"При 4,9 В ток резко падает почти до нуля.",При четыре целых девять десятых В ток резко падает почти до нуля.
"Затем ток снова монотонно увеличивается по мере дальнейшего увеличения напряжения, пока не будет достигнуто напряжение 9,8 В (точно 4,9 + 4,9 В).","Затем ток снова монотонно увеличивается по мере дальнейшего увеличения напряжения, пока не будет достигнуто напряжение девяти целых восьми десятых В (точно четыре целых девять десятых + четыре целых девять десятых В)."
"При 9,8 В наблюдается аналогичный резкий спад.",При девять целых восемь десятых В наблюдается аналогичный резкий спад.
"Франк и Герц отметили в своей первой работе, что характеристическая энергия их опыта (4,9 эВ) хорошо соответствует одной из длин волн света, излучаемого атомами ртути в газовых разрядах.","Франк и Герц отметили в своей первой работе, что характеристическая энергия их опыта (четыре целых девять десятых эВ) хорошо соответствует одной из длин волн света, излучаемого атомами ртути в газовых разрядах."
"В своих первоначальных работах Франк и Герц интерпретировали потенциал 4,9 В, связанный с неупругими столкновениями электронов с ртутью неправильно, как показатель потенциала ионизации ртути.","В своих первоначальных работах Франк и Герц интерпретировали потенциал четыре целых девять десятых В, связанный с неупругими столкновениями электронов с ртутью неправильно, как показатель потенциала ионизации ртути."
"Эта скорость соответствует поглощаемой атомом ртути кинетической энергии 4,9 эВ.",Эта скорость соответствует поглощаемой атомом ртути кинетической энергии четырёх целых девяти десятых эВ.
"Когда напряжение на сетке достигает 4,9 В, столкновения электронов вблизи сетки становятся неупругими, и электроны сильно замедляются.","Когда напряжение на сетке достигает четыре целых девять десятых В, столкновения электронов вблизи сетки становятся неупругими, и электроны сильно замедляются."
"Ток вновь возрастает, когда потенциал сетки превышает 4,9 В. При 9,8 В ситуация снова меняется.","Ток вновь возрастает, когда потенциал сетки превышает четыре целых девять десятых В. При девять целых восемь десятых В ситуация снова меняется."
"Этот процесс будет повторяться с интервалами 4,9 В; каждый раз электроны будут испытывать одно дополнительное неупругое столкновение.",Этот процесс будет повторяться с интервалами четырьмя целых девятью десятых В; каждый раз электроны будут испытывать одно дополнительное неупругое столкновение.
"Франк и Герц предположили, что напряжение 4,9 В, характерное для их экспериментов, было вызвано ионизацией атомов ртути в результате столкновений с испускаемыми катодом электронами.","Франк и Герц предположили, что напряжение четыре целых девять десятых В, характерное для их экспериментов, было вызвано ионизацией атомов ртути в результате столкновений с испускаемыми катодом электронами."
"В опыте Франка — Герца E0 — E1 = 4,9 эВ.",В опыте Франка — Герца E0 — E1 = четырёх целых девяти десятых эВ.
"Красота работы Франка и Герца заключается не только в измерении потерь энергии E2 — E1 налетающего электрона, но они также обнаружили, что, когда энергия этого электрона превышает 4,9 эВ, ртуть начинает излучать ультрафиолетовый свет с определённой частотой ν, как определено в приведенной выше формуле.","Красота работы Франка и Герца заключается не только в измерении потерь энергии E2 — E1 налетающего электрона, но они также обнаружили, что, когда энергия этого электрона превышает четыре целых девять десятых эВ, ртуть начинает излучать ультрафиолетовый свет с определённой частотой ν, как определено в приведенной выше формуле."
"Для неона интервал напряжения Франка — Герца составляет 18,7 В, так что при подаче 18,7 В возле сетки появляется оранжевое свечение.","Для неона интервал напряжения Франка — Герца составляет восемнадцать целых семь десятых В, так что при подаче восемнадцать целых семь десятых В возле сетки появляется оранжевое свечение."
"Это свечение будет приближаться к катоду с увеличением ускоряющего потенциала и указывает места, где электроны достигли энергии 18,7 эВ, необходимой для возбуждения атома неона.","Это свечение будет приближаться к катоду с увеличением ускоряющего потенциала и указывает места, где электроны достигли энергии восемнадцати целых семи десятых эВ, необходимой для возбуждения атома неона."
