q,a
Медаль «Золотая Звезда» Героя Советского Союза (24.04.1945);,Медаль «Золотая Звезда» Героя Советского Союза (двадцать четвёртого апреля тысяча девятьсот сорок пятого года);
орден Ленина (24.04.1945);,орден Ленина (двадцать четвёртого апреля тысяча девятьсот сорок пятого года);
медаль «За отвагу» (31.08.1942).,медаль «За отвагу» (тридцать первого августа тысяча девятьсот сорок второго года).
орден Богдана Хмельницкого (Украина) I степени (30.04.2010);,орден Богдана Хмельницкого (Украина) I степени (тридцатого апреля две тысячи десятого года);
С 1950-х годов До 15.04.2009 по улице проходила большая часть маршрутов трамвая.,С 1950-х годов До пятнадцатого апреля две тысячи девятого года по улице проходила большая часть маршрутов трамвая.
"18 декабря 2006 года, после поражения со счётом 1:6 от «Нью-Джерси», Озолиньш был выставлен клубом на драфт отказов, после чего был командирован в клуб АХЛ «Хартфорд Вулф Пэк».","18 декабря 2006 года, после поражения со счётом один:шесть от «Нью-Джерси», Озолиньш был выставлен клубом на драфт отказов, после чего был командирован в клуб АХЛ «Хартфорд Вулф Пэк»."
"В том матче, который латвийцы проводили против сборной Словакии, Озолиньш отметился 4 голевыми передачами и помог своей сборной свести игру к результативной ничьей со счётом 6:6.","В том матче, который латвийцы проводили против сборной Словакии, Озолиньш отметился 4 голевыми передачами и помог своей сборной свести игру к результативной ничьей со счётом шесть:шесть."
"Арест за нарушение общественного порядка — 14.12.2006, подстрекательство к беспорядкам на акции протеста пенсионеров перед Национальным Собранием — наложен административный штраф","Арест за нарушение общественного порядка — четырнадцатого декабря две тысячи шестого года, подстрекательство к беспорядкам на акции протеста пенсионеров перед Национальным Собранием — наложен административный штраф"
Арест на акции протеста пенсионеров в Асеновграде — 22.02.2007,Арест на акции протеста пенсионеров в Асеновграде — двадцать второго февраля две тысячи седьмого года
"Дело о расовом и дискриминационном обращении, направленное на применение расовой дискриминации и этнической сегрегации — 19.02.2008 — осуждён Антидискриминационной комиссией","Дело о расовом и дискриминационном обращении, направленное на применение расовой дискриминации и этнической сегрегации — девятнадцатого февраля две тысячи восьмого года — осуждён Антидискриминационной комиссией"
Уголовное дело о подстрекательстве к домогательствам и дискриминации в отношении лиц с гомосексуальной ориентацией в Республике Болгарии — 26.06.2008 — снято с производства,Уголовное дело о подстрекательстве к домогательствам и дискриминации в отношении лиц с гомосексуальной ориентацией в Республике Болгарии — двадцать шестого июня две тысячи восьмого года — снято с производства
"Дело о грубом нарушении общественного порядка — 28.06.2008, подстрекательство к беспорядкам и нападении на участников первого гей-парада в Болгарии — осуждён.","Дело о грубом нарушении общественного порядка — двадцать восьмого июня две тысячи восьмого года, подстрекательство к беспорядкам и нападении на участников первого гей-парада в Болгарии — осуждён."
"Дело о расовом и дискриминационном обращении, направленное на применение расовой дискриминации и этнической сегрегации — 17.12.2008 — обжалован и оправдан Верховным административным судом","Дело о расовом и дискриминационном обращении, направленное на применение расовой дискриминации и этнической сегрегации — семнадцатого декабря две тысячи восьмого года — обжалован и оправдан Верховным административным судом"
"Дело об использовании расистской и ксенофобной лексики, разжигающей предрассудки и дискриминацию в отношении беженцев в Болгарии — 21.12.2010.","Дело об использовании расистской и ксенофобной лексики, разжигающей предрассудки и дискриминацию в отношении беженцев в Болгарии — двадцать первого декабря две тысячи десятого года."
— осуждён Антидискриминационной комиссией,— осуждён Антидискриминационной комиссией
Уголовное дело частного характера по факту оскорбления — 13.12.2013 — снято с производства,Уголовное дело частного характера по факту оскорбления — тринадцатого декабря две тысячи тринадцатого года — снято с производства
Досудебное расследование по факту занятия Центральной избирательной комиссии (ЦИК) — 27.09.2014 — снято с производства,Досудебное расследование по факту занятия Центральной избирательной комиссии (ЦИК) — двадцать седьмого сентября две тысячи четырнадцатого года — снято с производства
Превентивный арест в связи с визитом премьер-министра Турции Ахмеда Давутоглу — 15.12.2015.,Превентивный арест в связи с визитом премьер-министра Турции Ахмеда Давутоглу — пятнадцатого декабря две тысячи пятнадцатого года.
За бои дивизия была награждена орденом Красного Знамени (25.10.1943).,За бои дивизия была награждена орденом Красного Знамени (двадцать пятого октября тысяча девятьсот сорок третьего года).
"два ордена Красного Знамени (30.03.1943, 22.06.1943)","два ордена Красного Знамени (тридцатого марта тысяча девятьсот сорок третьего года, двадцать второго июня тысяча девятьсот сорок третьего года)"
орден Суворова II степени (26.10.1943),орден Суворова II степени (двадцать шестого октября тысяча девятьсот сорок третьего года)
орден Богдана Хмельницкого II степени (19.03.1944),орден Богдана Хмельницкого II степени (девятнадцатого марта тысяча девятьсот сорок четвёртого года)
орден Отечественной войны I степени (21.04.1944),орден Отечественной войны I степени (двадцать первого апреля тысяча девятьсот сорок четвёртого года)
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"6:12, 13.","шесть часов двенадцать минут, 13."
12:36 (сравните с Мф.,двенадцать часа тридцать шесть минуты (сравните с Мф.
22:44 и Лк.,двадцать два часа сорок четыре минуты и Лк.
"20:42, 43), подразумевая, что Он, Мессия, пришёл не только как Потомок, но и как Господь Давида.","двадцать часа сорок два минуты, 43), подразумевая, что Он, Мессия, пришёл не только как Потомок, но и как Господь Давида."
"14:62, Мф.","четырнадцать:шестьдесят два, Мф."
26:64 и Лк.,двадцать шесть:шестьдесят четыре и Лк.
22:69.,двадцать два:шестьдесят девять.
"2:34, 35 и Евр. 1:13.","два часа тридцать четыре минуты, 35 и Евр. один час тринадцать минут."
"14:18 и Евр. 7:1 Мелхиседек был не только Священником Бога Всевышнего, но и царём Салима (древнее название Иерусалима).","четырнадцать часа восемнадцать минут и Евр. семь:один Мелхиседек был не только Священником Бога Всевышнего, но и царём Салима (древнее название Иерусалима)."
"Четырежды автор послания говорит о Мелхиседеке, как прообразе Христа (Евр. 5:6, Евр. 6:20, Евр. 7:17, Евр. 7:21), при этом указывая на превосходство служения Христа.","Четырежды автор послания говорит о Мелхиседеке, как прообразе Христа (Евр. пять:шесть, Евр. шесть часов двадцать минут, Евр. семь часов семнадцать минут, Евр. семь часов двадцать один минута), при этом указывая на превосходство служения Христа."
"Будучи Священником Иисус совершил жертвоприношение — Себя на кресте (Евр. 7:27, 28, Евр. 10:10).","Будучи Священником Иисус совершил жертвоприношение — Себя на кресте (Евр. семь часов двадцать семь минуты, 28, Евр. десять часа десять минут)."
"Не являясь священником по чину Аарона, Иисус — вечный Первосвященник (Евр. 7:21—26, 28) и «Ходатай нового завета» (Евр. 9:15).","Не являясь священником по чину Аарона, Иисус — вечный Первосвященник (Евр. семь часов двадцать один минута—26, 28) и «Ходатай нового завета» (Евр. девять часов пятнадцать минут)."
"3:2, 11, 12) и царями.","три:два, 11, 12) и царями."
Корабль с космонавтами Сураевым и Уилльямсом на борту отстыковался от МКС 18 марта 2010 года в 11:03:03 московского времени (08:03:03 UTC) и совершил посадку в тот же день в 14:23:04 московского времени (11:23:04 UTC) в 58 километрах северо-восточнее города Аркалык (Казахстан).,Корабль с космонавтами Сураевым и Уилльямсом на борту отстыковался от МКС 18 марта 2010 года в одиннадцать час три минуты:03 московского времени (восемь часов три минуты:03 UTC) и совершил посадку в тот же день в четырнадцать часа двадцать три минуты:04 московского времени (одиннадцать час двадцать три минуты:04 UTC) в 58 километрах северо-восточнее города Аркалык (Казахстан).
28 мая 2014 года ракета-носитель «Союз-ФГ» с пилотируемым космическим кораблём «Союз ТМА-13М» стартовала с космодрома Байконур в 23:57 мск.,28 мая 2014 года ракета-носитель «Союз-ФГ» с пилотируемым космическим кораблём «Союз ТМА-13М» стартовала с космодрома Байконур в двадцать три часа пятьдесят семь минуты мск.
29 мая в 5:44 мск корабль пристыковался к МКС.,29 мая в пять часов сорок четыре минуты мск корабль пристыковался к МКС.
10 ноября 2014 года в 06:58 мск спускаемый аппарат корабля «Союз ТМА-13М» совершил посадку севернее г. Аркалык (Республика Казахстан).,10 ноября 2014 года в шесть часов пятьдесят восемь минуты мск спускаемый аппарат корабля «Союз ТМА-13М» совершил посадку севернее г. Аркалык (Республика Казахстан).
лейтенант (25.06.1994);,лейтенант (двадцать пятого июня тысяча девятьсот девяносто четвёртого года);
старший лейтенант (17.06.1995);,старший лейтенант (семнадцатого июня тысяча девятьсот девяносто пятого года);
капитан (24.06.1997);,капитан (двадцать четвёртого июня тысяча девятьсот девяносто седьмого года);
майор (27.06.2000);,майор (двадцать седьмого июня двухтысячного года);
"5 сентября 2014 года участвовал в матче открытия первого в истории клуба «Спартак» стадиона, где «Спартак» сыграл вничью (1:1) с сербской командой «Црвена звезда» из Белграда.","5 сентября 2014 года участвовал в матче открытия первого в истории клуба «Спартак» стадиона, где «Спартак» сыграл вничью (один:один) с сербской командой «Црвена звезда» из Белграда."
"7 ноября 2015 года забил первый гол за «Уфу» в Премьер-лиге, отличившись в домашнем матче против «Амкара» (2:1).","7 ноября 2015 года забил первый гол за «Уфу» в Премьер-лиге, отличившись в домашнем матче против «Амкара» (два:один)."
"«Уфа» проиграла (0:1), но сохранила место в РПЛ, так как выиграла в первом стыковом матче (2:0).","«Уфа» проиграла (ноль:один), но сохранила место в РПЛ, так как выиграла в первом стыковом матче (два:ноль)."
"17 июля того же года в дебютном матче за нижегородский клуб против московского «Локомотива» (1:1) забил мяч, тем самым добыв ничью для команды.","17 июля того же года в дебютном матче за нижегородский клуб против московского «Локомотива» (один:один) забил мяч, тем самым добыв ничью для команды."
Орден Святого Владимира 3-й ст. с мечами (ВП 24.04.1915),Орден Святого Владимира 3-й ст. с мечами (ВП двадцать четвёртого апреля тысяча девятьсот пятнадцатого года)
Высочайшее благоволение «за отличия в делах против неприятеля» (ВП 19.05.1916),Высочайшее благоволение «за отличия в делах против неприятеля» (ВП девятнадцатого мая тысяча девятьсот шестнадцатого года)
Орден Святой Анны 2-й ст. с мечами (ВП 16.11.1916),Орден Святой Анны 2-й ст. с мечами (ВП шестнадцатого ноября тысяча девятьсот шестнадцатого года)
старшинство в чине полковника с 6 декабря 1909 года (ВП 29.07.1916),старшинство в чине полковника с 6 декабря 1909 года (ВП двадцать девятого июля тысяча девятьсот шестнадцатого года)
1945 — орден Трудового Красного Знамени (10.06.1945),1945 — орден Трудового Красного Знамени (десятого июня тысяча девятьсот сорок пятого года)
1947 — орден Ленина (10.11.1947),1947 — орден Ленина (десятого ноября тысяча девятьсот сорок седьмого года)
1946 — Академик АН СССР (30.11.1946),1946 — Академик АН СССР (тридцатого ноября тысяча девятьсот сорок шестого года)
"— Отделение геолого-географических наук (почвоведение, география)","— Отделение геолого-географических наук (почвоведение, география)"
"«Барселона» — «Алавес» — 6:1 (7-й тур, 26 октября 2002 года)","«Барселона» — «Алавес» — шесть:один (7-й тур, 26 октября 2002 года)"
"«Барселона» — «Расинг Сантандер» — 6:1 (27-й тур, 23 марта 2003 года)","«Барселона» — «Расинг Сантандер» — шесть:один (27-й тур, 23 марта 2003 года)"
"«Вильярреал» — «Атлетико» — 4:3 (16-й тур, 5 января 2003 года)","«Вильярреал» — «Атлетико» — четыре:три (16-й тур, 5 января 2003 года)"
"«Малага» — «Эспаньол» — 3:4 (7-й тур, 27 октября 2002 года)","«Малага» — «Эспаньол» — три:четыре (7-й тур, 27 октября 2002 года)"
"«Расинг Сантандер» — «Атлетик Бильбао» — 3:4 (16-й тур, 4 января 2003 года)","«Расинг Сантандер» — «Атлетик Бильбао» — три:четыре (16-й тур, 4 января 2003 года)"
"«Расинг Сантандер» — «Эспаньол» — 5:2 (36-й тур, 1 июня 2003 года)","«Расинг Сантандер» — «Эспаньол» — пять:два (36-й тур, 1 июня 2003 года)"
"«Реал Мадрид» — «Алавес» — 5:2 (5-й тур, 6 октября 2002 года)","«Реал Мадрид» — «Алавес» — пять:два (5-й тур, 6 октября 2002 года)"
"«Атлетико» — «Реал Мадрид» — 0:4 (37-й тур, 15 июня 2003 года)","«Атлетико» — «Реал Мадрид» — ноль:четыре (37-й тур, 15 июня 2003 года)"
"«Алавес» — «Реал Мадрид» — 1:5 (24-й тур, 1 марта 2003 года)","«Алавес» — «Реал Мадрид» — один:пять (24-й тур, 1 марта 2003 года)"
"«Мальорка» — «Атлетико» — 0:4 (3-й тур, 22 сентября 2002 года)","«Мальорка» — «Атлетико» — ноль:четыре (3-й тур, 22 сентября 2002 года)"
"«Мальорка» — «Барселона» — 0:4 (15-й тур, 21 декабря 2002 года)","«Мальорка» — «Барселона» — ноль:четыре (15-й тур, 21 декабря 2002 года)"
"«Мальорка» — «Реал Мадрид» — 1:5 (13-й тур, 8 декабря 2002 года)","«Мальорка» — «Реал Мадрид» — один:пять (13-й тур, 8 декабря 2002 года)"
"«Осасуна» — «Атлетик Бильбао» — 1:5 (32-й тур, 4 мая 2003 года)","«Осасуна» — «Атлетик Бильбао» — один:пять (32-й тур, 4 мая 2003 года)"
"«Райо Вальекано» — «Валенсия» — 0:4 (23-й тур, 23 февраля 2003 года)","«Райо Вальекано» — «Валенсия» — ноль:четыре (23-й тур, 23 февраля 2003 года)"
"«Реал Мадрид» — «Мальорка» — 1:5 (32-й тур, 3 мая 2003 года)","«Реал Мадрид» — «Мальорка» — один:пять (32-й тур, 3 мая 2003 года)"
"«Депортиво» — «Алавес» — 6:0 (23-й тур, 22 февраля 2003 года)","«Депортиво» — «Алавес» — шесть:ноль (23-й тур, 22 февраля 2003 года)"
Обзор PDF-XChange Viewer на сайте журнала «Домашний ПК» (недоступная ссылка)   (недоступная ссылка с 27-10-2016 [2730 дней]),Обзор PDF-XChange Viewer на сайте журнала «Домашний ПК» (недоступная ссылка)   (недоступная ссылка с от двадцати семи до десяти-2016 [2730 дней])
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"По возвращении из аренды, 17 марта 2012 года он дебютировал в первой команде «Уотфорда» в домашней встрече против «Ковентри Сити» (0:0).","По возвращении из аренды, 17 марта 2012 года он дебютировал в первой команде «Уотфорда» в домашней встрече против «Ковентри Сити» (ноль:ноль)."
25 августа забил первый гол в гостевой встрече против «Нортгемптон Таун» (3:3).,25 августа забил первый гол в гостевой встрече против «Нортгемптон Таун» (три:три).
"7 апреля 2013 года принимал участие в финальном матче Трофея Футбольной Лиги против «Крю Александра», в котором «Саутенд» потерпел поражение со счётом 0:2.","7 апреля 2013 года принимал участие в финальном матче Трофея Футбольной Лиги против «Крю Александра», в котором «Саутенд» потерпел поражение со счётом ноль:два."
"30 марта 2014 года второй раз подряд участвовал в финале Трофея Футбольной Лиги, в котором забил гол и помог своему клубу победить «Честерфилд» со счётом 3:1.","30 марта 2014 года второй раз подряд участвовал в финале Трофея Футбольной Лиги, в котором забил гол и помог своему клубу победить «Честерфилд» со счётом три:один."
"Дебютировал 9 августа в домашней встрече против «Блэкпула», а уже 16 августа отметился дублем в гостевой игре против «Болтон Уондерерс» (2:2).","Дебютировал 9 августа в домашней встрече против «Блэкпула», а уже 16 августа отметился дублем в гостевой игре против «Болтон Уондерерс» (два:два)."
"19 апреля 2016 года нападающий провёл первую игру после травмы, выйдя на замену в матче против «Блэкберн Роверс» (1:1).","19 апреля 2016 года нападающий провёл первую игру после травмы, выйдя на замену в матче против «Блэкберн Роверс» (один:один)."
Сезон 2016/17 Ассомбалонга начал с дубля в ворота «Бертон Альбион» (4:3).,Сезон 2016/17 Ассомбалонга начал с дубля в ворота «Бертон Альбион» (четыре:три).
"7 мая 2017 года, в матче последнего тура против «Ипсвич Таун», нападающий отметился дублем и помог своей команде одержать разгромную победу (3:0) и сохранить прописку в Чемпионшипе благодаря лучшей разнице мячей.","7 мая 2017 года, в матче последнего тура против «Ипсвич Таун», нападающий отметился дублем и помог своей команде одержать разгромную победу (три:ноль) и сохранить прописку в Чемпионшипе благодаря лучшей разнице мячей."
Дебютировал 5 августа в гостевой встрече против «Вулверхэмптон Уондерерс» (0:1).,Дебютировал 5 августа в гостевой встрече против «Вулверхэмптон Уондерерс» (ноль:один).
"15 августа отметился дублем в домашней игре против «Бертон Альбион», принеся своей команде победу 2:0","15 августа отметился дублем в домашней игре против «Бертон Альбион», принеся своей команде победу два:ноль"
27 марта 2018 года дебютировал за сборную ДР Конго в товарищеском матче против Танзании (0:2).,27 марта 2018 года дебютировал за сборную ДР Конго в товарищеском матче против Танзании (ноль:два).
"В третьем матче против Зимбабве отличился забитым голом на 78-й минуте, а команда победила 4:0.","В третьем матче против Зимбабве отличился забитым голом на 78-й минуте, а команда победила четыре:ноль."
"Справка Архивная копия от 29 декабря 2011 на Wayback Machine // РИА «Новости», 25.04.2011","Справка Архивная копия от 29 декабря 2011 на Wayback Machine // РИА «Новости», двадцать пятого апреля две тысячи одиннадцатого года"
"Абызов посеет $300 млн Архивная копия от 23 июня 2013 на Wayback Machine // газета.ru, 25.04.2011","Абызов посеет $300 млн Архивная копия от 23 июня 2013 на Wayback Machine // газета.ru, двадцать пятого апреля две тысячи одиннадцатого года"
"Глава Google нашел Digital October Архивная копия от 20 ноября 2012 на Wayback Machine // Коммерсантъ, 26.04.2011","Глава Google нашел Digital October Архивная копия от 20 ноября 2012 на Wayback Machine // Коммерсантъ, двадцать шестого апреля две тысячи одиннадцатого года"
"Денег тьма Архивная копия от 23 октября 2012 на Wayback Machine // Коммерсантъ Секрет Фирмы, 05.12.2011","Денег тьма Архивная копия от 23 октября 2012 на Wayback Machine // Коммерсантъ Секрет Фирмы, пятого декабря две тысячи одиннадцатого года"
"poSEEDelki в бизнес-инкубаторе Архивная копия от 15 февраля 2013 на Wayback Machine // The New Times, 13.02.2012","poSEEDelki в бизнес-инкубаторе Архивная копия от 15 февраля 2013 на Wayback Machine // The New Times, тринадцатого февраля две тысячи двенадцатого года"
"Образование в стиле Digital // STRF.ru, 21.03.2012","Образование в стиле Digital // STRF.ru, двадцать первого марта две тысячи двенадцатого года"
"Аудитория образовательного веб-проекта Digital October и «Ростелекома» превысила 100 тыс. // CNews, 09.06.2012","Аудитория образовательного веб-проекта Digital October и «Ростелекома» превысила 100 тыс. // CNews, девятого июня две тысячи двенадцатого года"
"В «поток знаний» влились 100 тысяч россиян Архивная копия от 12 марта 2013 на Wayback Machine // Голос России, 14.06.2012","В «поток знаний» влились 100 тысяч россиян Архивная копия от 12 марта 2013 на Wayback Machine // Голос России, четырнадцатого июня две тысячи двенадцатого года"
"Офис: Digital October Group // Hopes&Fears, 03.10.2012","Офис: Digital October Group // Hopes&Fears, третьего октября две тысячи двенадцатого года"
"Стартапы получили рейтинг Архивная копия от 28 декабря 2012 на Wayback Machine // Российская газета, 09.12.2012","Стартапы получили рейтинг Архивная копия от 28 декабря 2012 на Wayback Machine // Российская газета, девятого декабря две тысячи двенадцатого года"
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"16694, 30.07.2011 http://www.trinitas.ru/rus/doc/0232/009a/02321208.htm","16694, тридцатого июля две тысячи одиннадцатого года http://www.trinitas.ru/rus/doc/0232/009a/02321208.htm"
"«Академия Тринитаризма», М., Эл № 77-6567, публ.22716, 15.11.2016  http://www.trinitas.ru/rus/doc/0016/001e/00163124.htm","«Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.22716, пятнадцатого ноября две тысячи шестнадцатого года  http://www.trinitas.ru/rus/doc/0016/001e/00163124.htm"
"Фундаментальные математические константы как начало всех чисел и новая ФМК «Академия Тринитаризма», М.,Эл № 77-6567, публ.16330, 03.02.2011. http://www.trinitas.ru/rus/doc/0016/001c/00161779.htm Архивная копия от 21 января 2022 на Wayback Machine","Фундаментальные математические константы как начало всех чисел и новая ФМК «Академия Тринитаризма», М.,Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.16330, третьего февраля две тысячи одиннадцатого года. http://www.trinitas.ru/rus/doc/0016/001c/00161779.htm Архивная копия от 21 января 2022 на Wayback Machine"
"«Академия Тринитаризма», М., Эл № 77-6567,публ.16340, 06.02.2011. http://www.trinitas.ru/rus/doc/0016/001c/00161784.htm Архивная копия от 14 марта 2022 на Wayback Machine","«Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семипубл.16340, шестого февраля две тысячи одиннадцатого года. http://www.trinitas.ru/rus/doc/0016/001c/00161784.htm Архивная копия от 14 марта 2022 на Wayback Machine"
"О мировой гармонии, теории золотого сечения и её обобщениях // «Академия Тринитаризма», М., Эл № 77-6567,публ.17064, 06.12.2011 http://www.trinitas.ru/rus/doc/0232/013a/02322065.htm Архивная копия от 20 апреля 2021 на Wayback Machine","О мировой гармонии, теории золотого сечения и её обобщениях // «Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семипубл.17064, шестого декабря две тысячи одиннадцатого года http://www.trinitas.ru/rus/doc/0232/013a/02322065.htm Архивная копия от 20 апреля 2021 на Wayback Machine"
"«Академия Тринитаризма», М., Эл № 77-6567,публ.16388, 23.02.2011. http://www.trinitas.ru/rus/doc/0016/001c/00161801.htm Архивная копия от 3 марта 2022 на Wayback Machine","«Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семипубл.16388, двадцать третьего февраля две тысячи одиннадцатого года. http://www.trinitas.ru/rus/doc/0016/001c/00161801.htm Архивная копия от 3 марта 2022 на Wayback Machine"
"Реплика на статью А.П.Стахова «""Родовые признаки"" для обобщённых золотых сечений» «Академия Тринитаризма», М., Эл № 77-6567, публ.17521, 13.06.2012. http://www.trinitas.ru/rus/doc/0232/009a/02321262.htm Архивная копия от 20 апреля 2021 на Wayback Machine","Реплика на статью А.П.Стахова «""Родовые признаки"" для обобщённых золотых сечений» «Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.17521, тринадцатого июня две тысячи двенадцатого года. http://www.trinitas.ru/rus/doc/0232/009a/02321262.htm Архивная копия от 20 апреля 2021 на Wayback Machine"
"«Академия Тринитаризма», М.,Эл № 77-6567, публ.18482, 01.02.2014. http://www.trinitas.ru/rus/doc/0012/001d/00122567.htm Архивная копия от 19 апреля 2021 на Wayback Machine","«Академия Тринитаризма», М.,Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.18482, первого февраля две тысячи четырнадцатого года. http://www.trinitas.ru/rus/doc/0012/001d/00122567.htm Архивная копия от 19 апреля 2021 на Wayback Machine"
"«Академия Тринитаризма», М., Эл № 77-6567, публ.20680, 01.06.2015. http://www.trinitas.ru/rus/doc/0012/001d/00123767.htm Архивная копия от 24 января 2020 на Wayback Machine","«Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.20680, первого июня две тысячи пятнадцатого года. http://www.trinitas.ru/rus/doc/0012/001d/00123767.htm Архивная копия от 24 января 2020 на Wayback Machine"
"«Академия Тринитаризма», М., Эл № 77-6567, публ.22716, 15.11.2016  http://www.trinitas.ru/rus/doc/0016/001e/00163124.htm","«Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.22716, пятнадцатого ноября две тысячи шестнадцатого года  http://www.trinitas.ru/rus/doc/0016/001e/00163124.htm"
"Решение «задачи фараона» посредством программы «Mathematica» // «Академия Тринитаризма», М., Эл № 77-6567, публ.23473, 12.06.2017 http://www.trinitas.ru/rus/doc/0016/001f/00163327.htm Архивная копия от 28 января 2020 на Wayback Machine","Решение «задачи фараона» посредством программы «Mathematica» // «Академия Тринитаризма», М., Эл № от семидесяти семи до шести тысяч пятисот шестидесяти семи публ.23473, двенадцатого июня две тысячи семнадцатого года http://www.trinitas.ru/rus/doc/0016/001f/00163327.htm Архивная копия от 28 января 2020 на Wayback Machine"
